review,sentiment
"Great product! I love it and would definitely recommend it to others.",positive
"Not happy with the quality. It stopped working after a few uses.",negative
"Absolutely amazing! Best purchase I've made this year.",positive
"Very disappointing. The product doesn't work as advertised.",negative
"Good value for the price. Worth every penny.",positive
"I regret buying this. It broke on the second day.",negative
"Fantastic! It exceeded all my expectations.",positive
"Terrible product. I wish I could return it.",negative
"Very happy with this. It’s exactly what I needed.",positive
"Do not buy this. It’s poorly made and unreliable.",negative